btc_height,btc_hash,in_upstream,first_seen_chain
233184,00000000000000f260f0e87f7ea95616efa80d6a43c17a77c4b83d7c3f2085fd,yes,namecoin
234264,000000000000011b37cbf53383e438880240158465940958c1899724acb041ac,yes,namecoin
234361,00000000000000625a5e35f0a1f0092aed1e4f2f769d3f096d2ddede21174125,yes,namecoin
236092,0000000000000083c848af7fcf6f8b54a0e5d5854717579b7eef12877f8efc10,yes,namecoin
238659,000000000000012eda7aa57354e2fb2648d1a32bf6c73c26fb969b8e9c668c87,yes,namecoin
239016,00000000000000fc468227f83990359036ce3a6f61a25eaddba16abcdf7cb707,yes,namecoin
239191,00000000000000b214a574d6fb5699945c2e3b47756f2fcefd3eb3fb390a0e42,yes,namecoin
240915,000000000000004572c3f534dfddb74af542d6573095d52e530ceed94ac9bfef,yes,namecoin
241031,000000000000003eb0df7952601d567ed07a1683793c3aeb1c90fae6b378cfaf,yes,namecoin
241103,00000000000001079e2509521587ebc2d3dfd94c8fda4e2fb98e02bd8099e4b6,yes,
242435,0000000000000012ea2799304795ae8ebfc9fb0bf158d460c7cc04287f3d34d9,yes,namecoin
242525,00000000000000121de239903219f9176efbd00a8cc933bc32187ba89802c944,yes,
243446,000000000000000fede24818e3c5fa90325694b773648d68a0c7033c669cd467,yes,namecoin
245885,000000000000004c3daafc2d26e73874272d15a3acdf7511fe404f1b6bda6abf,yes,namecoin
246240,000000000000001ac9a1278871107c8445de592e376b4040049c4012e9f730a6,no,
248869,000000000000004a0163f3450ea234be5eb64af35e952fdccd92e67637a7664c,yes,namecoin
249012,000000000000002558b84861d3031808917c7f5fd5934d5cc4a60c3062044ab0,yes,namecoin
249250,0000000000000032ab6889fe5caac110c0e508cabc14fec80d177ff174516662,yes,namecoin
251268,000000000000004c4218e72fd5f74b37ea974c9c390a67bc1fa5076dea62c757,yes,namecoin
252238,000000000000002efa0cb0f6f0c6b77e67ef50dfdbd6e2a3f8b1cc1c5d7647ce,yes,namecoin
252279,000000000000001d6820cdcffdbc9ee2c58ee451e1f6c5f00252178abe6d6fa3,yes,namecoin
252313,0000000000000052f1b8a46712bd4989ad27dbdbf94779cd4a5657f5d0ee7890,yes,namecoin
252336,000000000000001ddb44cc0ac0fcc710f7f619cf88172018ab61405943da2f3e,yes,namecoin
252520,00000000000000213fbb6c0408bd87f38459dba44b82ebc899b712d3fd458643,yes,
252762,000000000000004232a1e27311e75d07a41291b6574363271de13feca2e28f55,yes,namecoin
252779,0000000000000017c7a3d87d87849786e260c17a4e273a3915c55ccb086edb20,yes,namecoin
252847,0000000000000039719bab80b1d751d6a264ae78d11dffaca5a0f4d5d9f616a3,no,
253662,000000000000002d7d6e3441a3cb18be4bf10f5d5ad1849c729fe7e249cd2774,yes,namecoin
254021,000000000000002bc403a91436149dc6d4be97b05b0ba7e10894f6b2a04d2122,yes,namecoin
254045,000000000000001d06fdbc7e2abb56f393a9495a859ef6d6196df5875cfbec57,no,
254222,0000000000000011e2f4ef2e41ba73b635624ec8c739e9bfa2963d77ed237ef4,yes,namecoin
254806,000000000000002b0c442b04215b303704f36c0e8ca4ff678c43d865de1bea1a,no,i0coin
255200,0000000000000025aba391aa62d7a830f1b72fe34c596caa0c032005c7660655,yes,namecoin
255571,000000000000000753833deb210edb959003755a17069df12b6c717b200a345c,yes,namecoin
255882,000000000000002b4597ebd23e8ddcd97f3d730ade26148e65c390e55408eaae,yes,namecoin
255996,000000000000002ce4be7d1c1029fe458fe20fa5d58b76c66299726bdc1e0dd2,yes,namecoin
