btc_height,btc_hash,in_upstream,first_seen_chain
710969,0000000000000000000be41b423608eee18feb7e0f6fb9ac6c27835c530179c2,yes,namecoin
751763,0000000000000000000993e1c4ab09844605bbec0b810e70beb0c364312bce86,no,syscoin
776941,00000000000000000004cc87382e38118248ec926716565d50d63f0637c22c07,yes,namecoin
843741,000000000000000000009186f08b48d2a0dce51df8c0dac593286a8981675eb2,no,rsk
883674,00000000000000000001abda316319c8fec0def0564526d8282ca3a168def490,yes,rsk
938873,00000000000000000000d32629446e8dd1934051c01166eb367c4eb3881d546c,yes,rsk
