btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,uno_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,000000000000000000972190f34a25bad47d4c8b6eb232704634bb5719fbeece,1503105623,180130e0,039c570741d665e496a8673f41d665e4962c515e2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dbc442a66f26e9ff761bcd313154b38595918edac225aa7a49ec345f81989d2eb800000000000000009197b1e114d000000000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed23c759e65d08f4e69de9b223f28faee7d2f58b9f716343e69fdfc024bce82c76,02000020ceeefb1957bb34467032b26e8b4c7dd4ba254af390219700000000000000000090ff091f7998e8c837c70e7a1df725be39df48787ba139f40ba648d5c6d6d23c57929759e03001181b162aaf,995017,01cfa853c637a0672153291a68864bdbc71d17ff3c1bac5a2f8440be86bde39b,03017500e106a4e14d64227fab17075650755ded03272a3386316a37eb4650dfbc5c56db969799ebb5637b6af44f50520f1ebd651a7b474c1c77c22d1decbb44710ccaf16b9197597ada181800000000,1503105387,1818da7a,stale,VALID,180130e0
482910,000000000000000000ccafc5477e199fb98ebf501a258cfc246a989160b52a5f,00000000000000000054451b1d0d386911d1a8167a5cb79d6b6f5bdb08da8ba6,1504234537,18013ce9,035e5e0741d66a330ae7be3541d66a330a4d297c2f4254432e544f502f4e59412f4542312f4144362ffabe6d6def54da3b157e98e6dcc226bc463f2c32f183559ed4e17415953963b4c5e50ec58000000000000000098a469642dc6db400000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9edb352aef85ed64dd397ff1ebf4831f1497d4371ddf7af20ca835add5d155afe6b,00000020a68bda08db5b6f6b9db75c7a16a8d11169380d1d1b45540000000000000000007976e2ed7c4d8c87b04f11014cc981c0b6a3d04ba457db011a120f90a8aa2cf429cca859e93c0118382282f2,1001275,7c962dbc22628314bd3f2fabc61351225abcfe3a86b1bdf330341b3df7a4c8cb,03017500ca36f0d151ffde18e38cbf9ada9dd37be0a64ee0f6fa8a9b7bb3258bdcafea635bf06d1188552e4935e19954e53be08e49879d37a295ca1d5ac03fbf7f878f6421cba859164f191800000000,1504234273,18194f16,stale,VALID,18013ce9
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,000000000000000000169d07d42816770802c5bc151237e63b893f05bfdba947,1504423106,18013ce9,03bd5f0741d66aeb31dff57541d66aeb30fceb7a2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dac33994f36359b196e8a41492775957adf2a12ad058c6d5db5776c63b5849a048000000000000000972153094ad1010000000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed028534375afe17d878e8af13fce72e6b9ff775a7b4dc2a7aa16d25fb3485d2ec,0000002047a9dbbf053f893be6371215bcc50208771628d4079d16000000000000000000f8296efc0a06b198e8937caf7bf3d8eb3473142f9be78eb289036d80793653efc2acab59e93c01181ee64fb5,1002300,a94b9d8bd17da1a8fb3ee84dea4491bdfe053b7c41d84a3199ffdcd66a9b4af8,03017500fa1068bffc01d6a9cb74f0330ecd1d3e4dba0b9aa8a7dc97fa1ad0acd0018353124500141074c9036b1353905e4200b102ee4e112249ca79920f42ba0c7933c896acab59c3a5251800000000,1504423062,1825a5c3,stale,VALID,18013ce9
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,000000000000000000cd5609e77ee84cee00964f9f33708c5253b462ee2fdf79,1504732346,1801310b,0339620741d66c192efdc0d841d66c192eeeb9302f4254432e544f502f4e59412f4542312f4144362ffabe6d6daad93d26771dce91d55df5f441468287f6036d452ab7f8f86a33b3794486362c80000000000000000515dca71e55010000000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed9d33530097548974c7087fe630bbfefa4127d06138160381e30decf13053f2cc,0000002079df2fee62b453528c70339f4f9600ee4ce87ee70956cd000000000000000000e5e5ba5302aa551d67e944b65bfa727e9a2fe63c6b781f2b73598e3b85a82044ba64b0590b3101181a231661,1004037,5f80993bd6d7dc19c09011b2ffe0ca89f88daab3f2cb0edc8bfe405c7f15fb3f,03017500fbe765ddfa61a195771d7ad11496dacd1a3c79ad83947e4fbce1fba3edde3a878b2e7380e69329b2367529e8b67d9f43de3d1b0db151c283b2942fd1cf87010abb64b0595d601d1800000000,1504732347,181d605d,stale,VALID,1801310b
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,0000000000000000007a363d793466c78672c56df72a54632ab303588a765d08,1504896495,1801310b,037a630741d66cb97d455bb541d66cb97c16bab22f4254432e544f502f4e59412f4542312f4144362ffabe6d6d6be52aa142f57c7b44bea17040dd626bcf1e5aebaf917abb157d8ef47041bb0a800000000000000004355f1191ae010000000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9edb67f80562c01ea584ea16a089e4573321d746ff572496f69691b57866a431800,00000020085d768a5803b32a63542af76dc57286c76634793d367a000000000000000000a3b5e49cc258be72bdadfe1b5be97385207b891139cb1a7a77135e57784927ecefe5b2590b310118c225baca,1004935,eaa2742566c38d9d1604ec653746b1ab5a4f8a41213392ba364879b790e9df65,03017500898952d1ea758f438c4aebeb8eaff0d173692b1fa1b2582e6eaf8520db86be50fafc8f50196f3041dfc60de0c74e31c93dc9b75684c664991562db0cf07db4aac0e5b259022c1e1800000000,1504896448,181e2c02,stale,VALID,1801310b
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,0000000000000000009986c055b2ba9c942ad099ae1731fdd50ab965e39c942a,1505303987,1801310b,0398660741d66e476334543341d66e47620387ea2f4254432e544f502f4e59412f4542312f4144362ffabe6d6d42b746e86574b761878cd1fa66bc88a136567a7827ce5e938178c02c10515a1c80000000000000009753e72ea5da4be800000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed0ff343c21e3c5fc1d8e269735bb49a94221cce16c77fcbba2dfc5795fac59212,000000202a949ce365b90ad5fd3117ae99d02a949cbab255c08699000000000000000000217891cff110be23126da38bf7a4e169da1b6a3c610fe247df0a6114e320a3f3b31db9590b31011814cad3ac,1007196,e8613f8ba255fa70dce70b871de6c2185b4abdbcd606cbf26bc4b99bcb9d3807,0301750002ccc0b367de93a79acc03a0329c04e7e26a62844c80f6e636f5ddca1240f39913022c0b714fc683ef540c35e1b050156a01b634f35fef153e5026e0a9d439134d1db959fa041e1800000000,1505303885,181e04fa,stale,VALID,1801310b
521694,0000000000000000002296da272a0a6ca7597819a5a7f8460c12daa411209eab,000000000000000000423fe0090b7704727a178866f02a198d392cd619f25837,1525743973,1745fb53,03def50741d6bc405653fd5141d6bc40553dbdc22f4254432e544f502ffabe6d6d13ae8eb6437f380b88e1cd292881e217750e38a96fa479740823210aa451eb338000000000000000c200b26c0000064467acaaaa,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed4c07146803e56874a85149aefcdd321374f063d56a6da75df9535ba54813817a,000000203758f219d62c398d192af06688177a7204770b09e03f4200000000000000000035f82666f617ee8d3bafbeeca428f8904661a0a6525a391f47316c538dd3ae786501f15a53fb45176328424e,1117990,56f4846bf4685e9fa235e656edb7aab165761f47bed8f51c01329d5a8bef3066,040175006d2bef72f9cfc8fe0e03caa7cd795b18dc9da680912037fefba091b41a42c42e4ae01ecea750582ffa6719fa26b7cb80e5555e3f3c99510de77cc0b5288fc95b1401f15afef4051800000000,1525743892,1805f4fe,stale,VALID,1745fb53
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,0000000000000000000f915b7b8b61cbeab58eac79ef2947bcbefcaab01541bb,1527763207,17415a49,03d4030841d6c3f44230da7f41d6c3f441e91fb82f4254432e544f502ffabe6d6d03437564ded5f9cadadbf2b95d0b693f57dc04733edf9a483617d2041e031caf8000000000000000d300dabf445a010000000000,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9ed544b2c76f9bd6b545a665933b034960212374c104688659e0085820892c6d2ce,00000020bb4115b0aafcbebc4729ef79ac8eb5eacb618b7b5b910f000000000000000000936a1a27f9b700c9b57e398c6025c27afe52299719423414b599cd39c3d0722707d10f5b495a4117b6567e78,1129152,91933b4f66aee2f36a96d127c520f3ee936dc0be7a3ada43d5efb6fda6fc79bc,040175001e4785e897ea87a5df7c8020c04d7bc3ee9f5cbf1dea29f74754dab4245c87662e3452cb43ab5fbef96799560ab078c69fde6ae396d6bf84b31d0b91ae1ff6c5b2d00f5be014061800000000,1527763122,180614e0,stale,VALID,17415a49
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,000000000000000000220ad3b5a210902e025a16bcc74d17c9a5285fc54d1f99,1530069670,17376f56,031414080b2f454231362f414431322f04120d335bfabe6d6ddcfb7ca12ac33739623dc534b62071d698c875b632be10b01fd1d9462f00a86e8000000000000000087000744b284b01000c2f4d533751343734365a502f,162yoHmpvqCq5SztkKaiEd5LiPyxcPLYzu,00000020991f4dc55f28a5c9174dc7bc165a022e9010a2b5d30a22000000000000000000ecacd0b8df539cecf39f57e1f0e560b7c835662a10a51fdd13d819f9f8ddfaafa602335b566f3717af097f62,1141934,dc24ed2d78cdb7ea86b74e12080e24eb985cfbf088c8bda76b6f22b161c0d07a,0401750051069161fcf00611b2e1b39c347aec2a58c3799c6f7a5278380e73f3e19bc32edd24c07531f5292c20f077ce3c698caa02cdbf6c595859355f57b80dcc70d212f20c335bfa3f051800000000,1530072306,18053ffa,stale,VALID,17376f56
532489,00000000000000000002c993cd9e9b3af3da6c921b5f61765406e1e4c980e674,00000000000000000013424801fbec52484d7211c223beec97f02236a9b6ee03,1531938398,17365a17,0309200841d6d3e198c13a8d41d6d3e197947e272f4254432e544f502ffabe6d6dd1a6a8ad33e51cbe6b999d1ddacff4b840606a6d275fb5993dfa2ad57fcc2c868000000000000000c2006de5000004285f0cab6a,1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ;6a24aa21a9eda97e4bb35c9ce41396bd3e02e0013800ac249be1d33d9873fff513b57855f670,0000002003eeb6a93622f097ecbe23c211724d4852ecfb01484213000000000000000000da9efa345abbac1078893c05ee94f35812d89f33e499d3974ed1460ef14569495e864f5b175a36178850534c,1152241,784b879a15a8b413df9b7ca7316150a9c3195b8fb712b0ab97c35b4928e36b83,04017500bd64bbfcf9bc8de3efffb0078ea9c5cbc94ad247bf8ee69fb465c0bf4624d24b31c6a8684997358871d925df568059df926f6b592d876a65b8fe4db1dadc9d03ea854f5b7f7b051800000000,1531938282,18057b7f,stale,VALID,17365a17
