btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,trc_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,000000000000000000666ba7a3feb41fd453909399411362b36cc3118c4d546c,1506047005,1800ff18,030b6c0741d6711d07c9e8eb41d6711d078c08212f4254432e544f502f4e59412f4542312f4144362ffabe6d6d0536d4cfc26e1934385ff98582beb4aa09f493bc49e445e6cf6e20afe85a31a98000000000000000994f47f30000a755b1620000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1311622649;OP_RETURN:0,000000206c544d8c11c36cb362134199939053d41fb4fea3a76b660000000000000000009bcf3f245a91cf23e185b43951eb52d08dfe71e3d1e98bee65b9ff7ff1601c291d74c45918ff0018e1089726,1081372,f94afd120b7a4589460fa390d9d6da33e61ae887f7974a1b400daa1bf8158357,04013200289784183a7a3af70f8f007ebf3060fe7e807275e07744d2772813e9fd2dafe3b6ef33fe59bc7a51195e5b50400de9f205bd4b2f0fefc7b5583667878bd7b72dbe73c459aee6231800000000,1506046910,1823e6ae,stale,VALID,1800ff18
487620,00000000000000000010f39ece8463f3e54a1da969c591c0afd1196dbccf339c,0000000000000000005e6b87ea6d67e24683ca1ae10f2c8d8c18f0f91caf205a,1506739422,1800ff18,03c470072cfabe6d6d488f29f02ae73200fb4dff7b7e28ebcd4fb34abcdce8c00839edb0e093ff68cc08000000000000002f4e59412f,pkh(99c02ebccad91945bcb469e5a66240b3c7ee614e):1256122569;OP_RETURN:0;OP_RETURN:0,000000205a20af1cf9f0188c8d2c0fe11aca8346e2676dea876b5e0000000000000000004eba26acd176754ab075899025db814bbe08de33ba437c9591f6493f9e49f243de04cf5918ff00185aa8b642,1086868,ce8442a40f5b8d2979dcb445bf31a5b9197b9e0f04a3a3a8354ffecd311c7e12,04013200a203f0e83e4f7cfbd4ea116621d8b99a4d77a7b094587ad2a651792a3b219aae37a9a3deadc89feb3a59e06b960e888b7a106e5e904f5d503091a998f8a5091e8804cf59dd39221800000000,1506739336,182239dd,stale,VALID,1800ff18
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,0000000000000000000f915b7b8b61cbeab58eac79ef2947bcbefcaab01541bb,1527763207,17415a49,03d4030841d6c3f44230da7f41d6c3f441e91fb82f4254432e544f502ffabe6d6d03437564ded5f9cadadbf2b95d0b693f57dc04733edf9a483617d2041e031caf8000000000000000d300dabf445a010000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1252739380;OP_RETURN:0,00000020bb4115b0aafcbebc4729ef79ac8eb5eacb618b7b5b910f000000000000000000936a1a27f9b700c9b57e398c6025c27afe52299719423414b599cd39c3d0722707d10f5b495a4117b6567e78,1251540,9c2b3057334f327b0fedd5b6e47087eb9d28172ecb03e595e0812c71222b03cd,04013200f5bdc910e8fc2d13c1543562c5b64c5c906dc4d2d79312d6b5cd6ca33afa14dcc6f7f80d9959a09733d0ed44bea5967be0ec7db6ba5589586c1d651acec97c98e8d00f5b73140c1800000000,1527763176,180c1473,stale,VALID,17415a49
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,000000000000000000220ad3b5a210902e025a16bcc74d17c9a5285fc54d1f99,1530069670,17376f56,031414080b2f454231362f414431322f04120d335bfabe6d6ddcfb7ca12ac33739623dc534b62071d698c875b632be10b01fd1d9462f00a86e8000000000000000087000744b284b01000c2f4d533751343734365a502f,pkh(3738752136c7b5deebbded93274d69c90d3b208f):1250861086,00000020991f4dc55f28a5c9174dc7bc165a022e9010a2b5d30a22000000000000000000ecacd0b8df539cecf39f57e1f0e560b7c835662a10a51fdd13d819f9f8ddfaafa602335b566f3717af097f62,1269872,7800437163711bbac5359a7809af2a1055ca5b39933f5e943b35a4a69ac9ec16,04013200001170b11da1b0b664122878dea48025cdd2150901f1f73d775ff7968821aab9482423e7f3ae5802adadd97bb17b1045ee0a266fb341399ab9f973333d52eba7f50c335b2782061800000000,1530072309,18068227,stale,VALID,17376f56
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,00000000000000000024622c5290c6374587f74f78069406af6d001c1b2fabff,1534891167,172c0da7,0303350841d6df25277124b441d6df252718f6c52f4254432e544f502ffabe6d6df230e894adf2e83727eb27666cd7afb7683558069bdb7e57279c83b97cef176a8000000000000000d700f134ae0dabaa00000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1278711745;OP_RETURN:0,00000020ffab2f1b1c006daf069406784ff7874537c690522c622400000000000000000007b08f4225bb956f35120096ae7b08716c18dc54217b222489d0b181d8838f399f947c5ba70d2c17971e348c,1307809,7a1bad54d33f40cd4e67069f5d34c20601a09dc381d0ef333ca656130f955e7c,04013200f3862463feb0e9a42f7414810121ad3a7051f17598c3964d9e705b5dec9e5fc4fefcafb4455a98d20ad1f8c5b53f0150582acd8635a1864a35caaa03251bf45c84947c5bfc12091800000000,1534891140,180912fc,stale,VALID,172c0da7
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,0000000000000000001e84cc5520bf6dcb06ed63703fa7c407608abb9bd7cf7c,1536258651,1729d72d,03463e0841d6e45c93abd3f541d6e45c92a69f3d2f48756f62692ffabe6d6d9ebb6008f388ba54b396546c64136ccb2e0b3da3ed1f2121f9258d983bf37a798000000000000000c500fcb5ef55551500000000,pkh(94155788e7233d7bea9aa29feb2ed37bc878c40b):1267740811;OP_RETURN:0,000000207ccfd79bbb8a6007c4a73f7063ed06cb6dbf2055cc841e0000000000000000005824a29c3079f17e31aa46657e7cfcd584be651b61c25b26fe08fcea3da8b9555b72915b2dd729176c2d3673,1318659,f95236fea232a87b771ad8cced52f9db6d302b854bcfcd1d7068d261827fd068,040132000e400ddd24ee4464a764c8d20520c4c587ee6481d5fbadca6237784f673c7f2979d93f8f9e4faba795b1a96d874cd2b67b741174ebaecdd6e694f7854143259e1c72915b35e3071800000000,1536258588,1807e335,stale,VALID,1729d72d
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,000000000000000000109f4dca5d0fea2c03cd165d1b9356f8f07e6aa8c785f0,1539263620,1725c191,03205208042c67c15bfabe6d6dbab4113ee69b0d67762377a36df2ffa32f3bf74ed7c07bb5b166afd5f2f51eb68000000000000000082000a78a08130000062f081801002f,pkh(3738752136c7b5deebbded93274d69c90d3b208f):1310659283,00000020f085c7a86a7ef0f856931b5d16cd032cea0f5dca4d9f1000000000000000000019bba046e8381b006eb0bf00a37e519563502a39f294b3fa77fea81566839936844cbf5b91c125172b8f2912,1343332,c88609d08852d4dfa5e4a1713a94224127cfa5a2ee9e5beb307f97ba339a0f99,0401320099e0f68ca57776039747ab3cab35ced3d9ab2583a937ac0990076d808b4034a56a17a68ebef97d7b064932611f8046592a6e5f3fefb8b80f0404c7e11952e0fda366c15bbe00091800000000,1539401379,180900be,stale,VALID,1725c191
555155,0000000000000000002fa73d58dbc421939796bc370af1ece833f2d1ff2fdca3,0000000000000000001d25429cf17e36c59f270cb54abef604d68623536d61e6,1545599646,17371ef4,0393780841d707fea8b7932441d707fea7b552732f48756f62692ffabe6d6da042e070d269c02f5ca69e016c921caa202a8baf82dc6304b58fcd4b68165fd98000000000000000ca003bf9e31f010000000000,pkh(94155788e7233d7bea9aa29feb2ed37bc878c40b):1263141621;OP_RETURN:0,00008020e6616d532386d604f6be4ab50c279fc5367ef19c42251d000000000000000000fb8d209c56f4a22ca12f33b826e4b90b2a9c5ad388712b237762613d7bce1e809efa1f5cf41e37175129dfe1,1392545,452f414a2a6ffb6173b571e6c5555c4882f55728c4b2ca4773fe01c6f859981b,04013200356884c0ac333abd875566616010f2b0381f2a27d731b5c965b5d2f8c54142ec8d6c8ce1b6a99b1622aa0f265335600d52936739ecefb67f89e867087eb1626003fa1f5cac38071800000000,1545599491,180738ac,stale,VALID,17371ef4
556976,00000000000000000004b7c8cd40132c94085abc0bf2448c1696788fb1ac5460,00000000000000000030967160f0687e7fd730783b7ff9fb78349b01d44eff19,1546598964,173218a5,03b07f0841d70bce8da349de41d70bce8d10121f2f4254432e544f502ffabe6d6d3402d3e86f3341f50539233704a8bea5d384409525e371cb1f4e4dcf31caa04b8000000000000000e3001fc2abf9000000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1297870180;OP_RETURN:0,0000002019ff4ed4019b3478fbf97f3b7830d77f7e68f060719630000000000000000000b0d692718163526139f2aff6e9af1bbcbf851ee0002297743674b2de42667e22343a2f5ca5183217b4a73d97,1400484,e3fa4805b4dd90eb4cb102a4c1795c07417862803f40ba9dc415308797191e6b,0401320043645b136b7cb233cab339a7202df85d0e0a328f29930fa87ebab37affa0d9446670ba0fe2410e4f5060d2188b11f2577478a23b120fd4ac005ca3ed75118a70bf392f5c56b4071800000000,1546598847,1807b456,stale,VALID,173218a5
557619,00000000000000000029ebab8bd47d86043309823f5f1577d881395f292b075a,00000000000000000001866035a5ca39732ea6366fc4fb7ccb05cc477ec5707e,1546961355,173218a5,0333820841d70d306f775a2f41d70d306f6d89f52f48756f62692ffabe6d6d2d4f4323da0ec3267d4a57c5122eecab386fd0b9cbcc574d6cb44ca81fe7a6fd8000000000000000d500c474aa00000000000000,pkh(94155788e7233d7bea9aa29feb2ed37bc878c40b):1255493352;OP_RETURN:0,000000207e70c57e47cc05cb7cfbc46f36a62e7339caa535608601000000000000000000da43da9acc84e4285dfe7c32e4e36bc84f9058fcb2f3f24795e9f3c41351b9e1cbc1345ca51832175c7328fe,1403363,cd12c03eeb84e46b40eb87ddac37350387266ad3b8b7144179cf622e6e505b8e,04013200893eba5017a04b2658417ecd0b6e6fb17ada60f5501209d6ad92bcfe99e76d75780689ebf71ba520d30078f9b6ca72264116fe057f22b767160306b87294a44c85c1345cab92061800000000,1546961285,180692ab,stale,VALID,173218a5
