btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,xmy_height,classification,validation_status,expected_nbits
504952,00000000000000000015c30099593e9b5e974af1d27b7b49910856e3434401cc,0000000000000000001f940b4e4b923a95a6bc597ac4084df7c34665de2b08e2,1516351621,177e578c,0378b40741d6986c227da1a541d6986c2152c6962f4254432e544f502ffabe6d6d7f3ec5f9325275588af417678467e2737b0f75df487e8842064d524620be709d8000000000000000f600abe90b34000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed86a62eb83c796100270f088cd927ad5ea635c423511c7fab7a451fbe6a66d310,00000020e2082bde6546c3f74d08c47a59bca6953a924b4e0b941f00000000000000000014df3a05ee4711032f1a7576af115506a495ecf0c80b4df0fe35d275667185a685b0615a8c577e170b0c9221,2311823,stale,VALID,177e578c
505705,000000000000000000520a6174197bca28e864f13dd76db5ea8c9787b8ab5f62,00000000000000000026fc47cf06d1abd6c5889eca9c8b17737b8aa3c0f97ca5,1516709518,177e578c,0369b70741d699c9a41ae50241d699c9a3b0b5bd2f4254432e544f502ffabe6d6d0f6e0909b277e3483d50e0180d3ac450edfa667c4cabc034f03e2ab6db9f0a058000000000000000dd0042e80bfb010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed9132f2c741adf8df1741ec3d1ff66a578f9ef4c969106e2e89004dd4889b6a30,00000020a57cf9c0a38a7b73178b9cca9e88c5d6abd106cf47fc26000000000000000000e7c55573a629c387ce73f87cfcc8942b70347e3e95a9380069e26bac1ccf0d928e26675a8c577e17a262be93,2316332,stale,VALID,177e578c
508169,00000000000000000000344049294a84262d660afba88297c770a5c183c4db4a,0000000000000000003284850f5bbf3c0066e7b02ea6cd9c4ac71ad40b7510d5,1518046022,1761e9f8,0309c10741d69ee2d1d47a6841d69ee2d12a43b22f4254432e544f502ffabe6d6d0610047de1dbc8be815ceb66b186d0ef2db509b71f36d02bc6903cbf7cec33448000000000000000ca004193861ec77100000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed9531b5c9bd1d73a1f94c9b08e59ca330a421b2d2ee986fdefc1fd9e2a4dacf8c,00000020d510750bd41ac74a9ccda62eb0e766003cbf5b0f8584320000000000000000005c95bd0b40756c051691814cb98861202c94f6ca93da84027fe8a7eb891107e2468b7b5af8e96117456472e0,2331906,stale,VALID,1761e9f8
508270,00000000000000000035e3e4cb727262a51f2e814914d2b2fcd4e89dd1b0f4bd,0000000000000000004ce7698187372307116ab41972eff059892557232e98ac,1518108577,1761e9f8,036ec10741d69f1fe9a9679841d69f1fe872b2432f4254432e544f502ffabe6d6d7d44dd404370be574c04d46a24b40b45be01be591349922e5807609c308205348000000000000000c8006384715c000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed1c5786be4251f5538a6e7c152e1a57fdc62af053d9ae742d4051903f7c675a46,00000020ac982e2357258959f0ef7219b46a11072337878169e74c000000000000000000de347735c2ec11eaf728dcd4f45d2674a289dca60237421ab21eab0bfe0f9cd6a17f7c5af8e961170ed88432,2332727,stale,VALID,1761e9f8
509239,00000000000000000044f109cd547566f3b756538d80b5b7017a584ef812ba87,00000000000000000017938aa6fccde47920ab566efa5487ee07f1579d15640b,1518651866,1761e9f8,0337c50741d6a13276f4913441d6a13276becbbf2f4254432e544f502ffabe6d6d820391e43da2c2c2d8fdfe92ee390727f0b6b52ad6830529d634eebd356660f88000000000000000d500473ebb23000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9eda6595c96ffe6e0b34baa4d69d6f5815ab7ba32b8d356027bf6b318c020220d0a,000000200b64159d57f107ee8754fa6e56ab2079e4cdfca68a9317000000000000000000baeb125fe8234d38e0904226aabcf5f607e68717892b13db5ff46d277d57608bdac9845af8e961171014d400,2339072,stale,VALID,1761e9f8
509677,000000000000000000412393430df277b1c5210db7f33bb1bf1babdce10e2034,0000000000000000002bc5c2a5defeaeb4218a9024e3d30442ae5bbfc0c2d16a,1518909980,1761e9f8,03edc60741d6a22e87ff61bc41d6a22e87471a3e2f4254432e544f502ffabe6d6d4e12baad12341f1f3fbd3f486dcc5c825235f74f638715af39d29a0d493656298000000000000000f900e217c613000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed5c109c6a9b27d83973c8ece60a20eb024d44f5a9d9412768e3014eb87d59958b,000000206ad1c2c0bf5bae4204d3e324908a21b4aefedea5c2c52b000000000000000000bb8bb815776149ce36d4a76951c6860c278311c6827ac26fa3000efed8fffb881cba885af8e961179929290c,2342179,stale,VALID,1761e9f8
515256,0000000000000000003f46592dc0e914390890be733769416e3d82b7009ea8f8,00000000000000000020b1436f2c4d7da09da467afe7ed58f61c04be0a97fe55,1522078877,17514a49,03b8dc0741d6ae4528276a7041d6ae452771b8192f45324d2026204254432e544f502ffabe6d6d7f270ec92d0d49cbd62ea23427087f16e699d52c909ae5f032d89d6f0f0f59c28000000000000000e9009015395b000000000000,76a9149eecda14fe314502197be7401f4bc3000d73335a88ac;6a24aa21a9ed7f1fe53871be852806799dd1acde97536f59db0b4bed48fa85faf42b6c64eaf1;76a914172cc5187962a7255beddfbd99b547ff7a79352788ac,0000002055fe970abe041cf658ede7af67a49da07d4d2c6f43b120000000000000000000f560b920f52a02bc0ade7a34ff7fd15860a18b6dc079ef736980172e7f67c4739d14b95a494a511710a1b3cc,2379307,stale,VALID,17514a49
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,0000000000000000000f915b7b8b61cbeab58eac79ef2947bcbefcaab01541bb,1527763207,17415a49,03d4030841d6c3f44230da7f41d6c3f441e91fb82f4254432e544f502ffabe6d6d03437564ded5f9cadadbf2b95d0b693f57dc04733edf9a483617d2041e031caf8000000000000000d300dabf445a010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed544b2c76f9bd6b545a665933b034960212374c104688659e0085820892c6d2ce,00000020bb4115b0aafcbebc4729ef79ac8eb5eacb618b7b5b910f000000000000000000936a1a27f9b700c9b57e398c6025c27afe52299719423414b599cd39c3d0722707d10f5b495a4117b6567e78,2442067,stale,VALID,17415a49
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,000000000000000000220ad3b5a210902e025a16bcc74d17c9a5285fc54d1f99,1530069670,17376f56,031414080b2f454231362f414431322f04120d335bfabe6d6ddcfb7ca12ac33739623dc534b62071d698c875b632be10b01fd1d9462f00a86e8000000000000000087000744b284b01000c2f4d533751343734365a502f,76a9143738752136c7b5deebbded93274d69c90d3b208f88ac,00000020991f4dc55f28a5c9174dc7bc165a022e9010a2b5d30a22000000000000000000ecacd0b8df539cecf39f57e1f0e560b7c835662a10a51fdd13d819f9f8ddfaafa602335b566f3717af097f62,2469154,stale,VALID,17376f56
532489,00000000000000000002c993cd9e9b3af3da6c921b5f61765406e1e4c980e674,00000000000000000013424801fbec52484d7211c223beec97f02236a9b6ee03,1531938398,17365a17,0309200841d6d3e198c13a8d41d6d3e197947e272f4254432e544f502ffabe6d6dd1a6a8ad33e51cbe6b999d1ddacff4b840606a6d275fb5993dfa2ad57fcc2c868000000000000000c2006de5000004285f0cab6a,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9eda97e4bb35c9ce41396bd3e02e0013800ac249be1d33d9873fff513b57855f670,0000002003eeb6a93622f097ecbe23c211724d4852ecfb01484213000000000000000000da9efa345abbac1078893c05ee94f35812d89f33e499d3974ed1460ef14569495e864f5b175a36178850534c,2490479,stale,VALID,17365a17
536375,0000000000000000001b28064cfbc118875239f2f9f8dbd82f60fb6055029e61,00000000000000000004bb4c3e7ed375c430a03f2ef5118bc0c272fe5f3d7eb5,1534043624,172c0da7,03372f0841d6dbe9795c038d41d6dbe9789aece82f4254432e544f502ffabe6d6da06533fc8e5839548709a30358cbf6dd1930f9b8a926e8ec62b253a3e736da908000000000000000da006d521670b6d800000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed8c53f415f67ca1d560b6702ff8ab0f07f95545d251510f5b8c6a81c369b2d3f0,00000020b57e3d5ffe72c2c08b11f52e3fa030c475d37e3e4cbb0400000000000000000060dbedc7204cc5e365a8dfc44631428ba57ad791812b1d4544b23df2bc78f424e8a56f5ba70d2c171f8a96e4,2513798,stale,VALID,172c0da7
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,00000000000000000024622c5290c6374587f74f78069406af6d001c1b2fabff,1534891167,172c0da7,0303350841d6df25277124b441d6df252718f6c52f4254432e544f502ffabe6d6df230e894adf2e83727eb27666cd7afb7683558069bdb7e57279c83b97cef176a8000000000000000d700f134ae0dabaa00000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed49b867e1f1ffc66bbcdc0e66fd3d30767f8ddb50d6a1c98fa05f52296b526c9f,00000020ffab2f1b1c006daf069406784ff7874537c690522c622400000000000000000007b08f4225bb956f35120096ae7b08716c18dc54217b222489d0b181d8838f399f947c5ba70d2c17971e348c,2523533,stale,VALID,172c0da7
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,0000000000000000001e84cc5520bf6dcb06ed63703fa7c407608abb9bd7cf7c,1536258651,1729d72d,03463e0841d6e45c93abd3f541d6e45c92a69f3d2f48756f62692ffabe6d6d9ebb6008f388ba54b396546c64136ccb2e0b3da3ed1f2121f9258d983bf37a798000000000000000c500fcb5ef55551500000000,76a91494155788e7233d7bea9aa29feb2ed37bc878c40b88ac;6a24aa21a9ed00d19e56e34eca2fcdfc98d2a94e24c9e6b389106dfe22c7a0fe65928876c496,000000207ccfd79bbb8a6007c4a73f7063ed06cb6dbf2055cc841e0000000000000000005824a29c3079f17e31aa46657e7cfcd584be651b61c25b26fe08fcea3da8b9555b72915b2dd729176c2d3673,2539260,stale,VALID,1729d72d
