btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,nmc_height,classification,validation_status,expected_nbits,btc_bip34_height,btc_parent_height,nbits_match,post_bch_fork
153548,00000000000006bbed5da8d2cf9a98c75fb856d379b65c1b5b2f3c49fb6d2403,000000000000069a094a69ce40e1a7cfd65787f09b7267422f0894453fe9f532,1321447082,1a0e119a,70736a049a110e1a0400f4bf05522cfabe6d6dde5c0fd09d9e63c576597da2a7c7e8bd6f068493bcf70ba0e2c53c01d7c331b101000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,0100000032f5e93f4594082f4267729bf08757d6cfa7e140ce694a099a0600000000000078644472cb373103d1f654ea28b7be730a14238190c24d0a026fb59f6a9857c7aaaec34e9a110e1a357a5330,28683,stale,VALID,1a0e119a,,153547,true,false
153211,0000000000000158080186e96d9061b20e650f62d0c3c5156110c06ef6699538,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1321535769,1a0df0ca,70736a04caf00d1a046c2ced0e522cfabe6d6dd1246b03aa06cb2743ac1790c0697df82890183ea21d22b4514b25f31b62aee001000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d0000000000000a0626c059f257c1c53a922afdc31556122f3ecb352d01da58939f5d156241f81909c54ecaf00d1a003d064f,28879,stale,VALID,1a0df0ca,,153210,true,false
153710,0000000000000655868ae14c1a53860addde0aa4478fa273924265d85eb16677,00000000000003d3afe7f602467b8eb01aa2cd5e29dd27712904f9824cc273ec,1321546714,1a0e119a,70736a049a110e1a04b1083a08522cfabe6d6d1194b481957c0cb59bbf4d29f732ff8d3df55d74b4890da00901cf64e8e9da6701000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,01000000ec73c24c82f904297127dd295ecda21ab08e7b4602f6e7afd303000000000000a7963fcf2ac3cdc7276d4d20d76d3978edf8ebb79cce86d57a66f70f01413cc7da33c54e9a110e1a4006cfb2,28904,stale,VALID,1a0e119a,,153709,true,false
153715,000000000000003b1aa4d6d6171b6a6973471139a7cfaa6897b7501104c089c0,000000000000007c478672b422950d5a675fe11297f5a2a15d9a790ce649f714,1321548750,1a0e119a,049a110e1a021747522cfabe6d6dad1802dae40910c363b4275adae7569efd69494e92db466ae317e153b1aecbd00100000000000000,,0100000014f749e60c799a5da1a2f59712e15f675a0d9522b47286477c00000000000000a0906d71af01e061801fa966983b53c5dd5b195deca59d36dd554949716595a0ce3bc54e9a110e1ac127ba21,28909,stale,VALID,1a0e119a,,153714,true,false
153913,00000000000003dccc904c9adee917a4788d37154bfb8cb797d2a04ca7976465,0000000000000bd8b59366367e06d826e5786bbb35c3c50224b4c37b4648bee2,1321679198,1a0e119a,70736a049a110e1a042e841b15522cfabe6d6da9f4c32a41b83c9a9a64b6609c66d4a1a639d8491adc890df2f25ddeaafa85a001000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,01000000e2be48467bc3b42402c5c335bb6b78e526d8067e366693b5d80b0000000000007a28148aae3ba77c546727b809ce20d97415ea267273ca658035dd6581fdd0b95e39c74e9a110e1a07dcddb2,29203,stale,VALID,1a0e119a,,153912,true,false
153211,0000000000000801d4e86527c61b946823234262c637eaabcdf8a9d383c6a4b6,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1321726279,1a0df0ca,70736a04caf00d1a0413467f14522cfabe6d6d2a6c11fa872b59cd531506f5d089f6a037537b93a66b49c20f6626e297f7a8ad01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d0000000000000f5dd47811736085c297bdd0075139cc49a4bf2de56346c518e0288212b32e5b47f1c74ecaf00d1a06877c83,29303,stale,VALID,1a0df0ca,,153210,true,false
154146,00000000000002d2a996b791b235f27d653d4996ec40e7e08e106dd30bda6ce8,0000000000000772bb160a0ce5ee8047a0a31f6309f2c6d033c10f5561f3400d,1321831791,1a0e119a,049a110e1a02cc5b522cfabe6d6d74af4b5b59a192956ef789812a05dafbb96e7bff322cedd64d44e55c668da2d90100000000000000,,010000000d40f361550fc133d0c6f209631fa3a04780eee50c0a16bb7207000000000000254a96eced31962d4d64399d31dcb3ddcb8879480b7b02998d677cde0e2bcbc86f8dc94e9a110e1ac519b044,29535,stale,VALID,1a0e119a,,154145,true,false
154500,0000000000000c59a95abe73ed16ed7855f5638b17e177c88f781c7b7b77b579,00000000000008cefaebe1163155c5ec5fb26c70ca0254c4310f301d2b6841d8,1322060690,1a0e119a,70736a049a110e1a040223d215522cfabe6d6d0871e7c32968ffdef6cbd39b620c091f964f175a075c72b94133ca863657b81201000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,01000000d841682b1d300f31c45402ca706cb25fecc5553116e1ebface080000000000006eaf04c9c059f4c359d88194baba3f21f64e328af090a7ee4e1f9d9e1aff2762920bcd4e9a110e1acd4ecb0b,30039,stale,VALID,1a0e119a,,154499,true,false
153211,000000000000077eee96b46b9b4438931e267765d2778714a36a6abe5e27d594,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322120459,1a0df0ca,70736a04caf00d1a04eadd1320522cfabe6d6d425fb69775d8a5c863ca872986712c22b7fa5d0e2494d2b9cf4b66284f8b57c501000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000f0508788ca9ce46e37fc6849b6242906ef5e870dcb09e7529bc0912ba9e06af70bf5cd4ecaf00d1a00cfe10e,30167,stale,VALID,1a0df0ca,,153210,true,false
154602,0000000000000a17145926ee084587481899783a23a9f2ca0de8d3c53f2d0ef1,00000000000007e5aa04f120f9f503be42e0261d74de33b5d2ad01ab43b0163d,1322140054,1a0e119a,70736a049a110e1a040990db17522cfabe6d6d773b5815c405f8c8fe992a07e7def0628549992471b874fc8a2941d18de8b90a01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003d16b043ab01add2b533de741d26e042be03f5f920f104aae50700000000000042deef0b78c63edd8a764448ff1f92c09c86538c7e39c5886659c0e9c65e49849641ce4e9a110e1a105e98ef,30209,stale,VALID,1a0e119a,,154601,true,false
