btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,arg_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,0000000000000000010a744d59689d9e49628b86ca4d4fc99d34c8e892bb8a49,1495232042,1801f6a7,03f220072cfabe6d6d7da3d9a5bd733a3016c3d1355c94f185bfdc03965f1daece80b862e39da4db268000000000000000,134vPp664VcocqouZeuSMZaXfquFyRLfQG;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2848ad727b149194d82f528233e3eb1dc49481ea27d89f80e88d681c2ed4ded44d06000000e70c1185,02000020498abb92e8c8349dc94f4dca868b62499e9d68594d740a010000000000000000b921a36ee3304d5623a333f7ba992aa76e817ea7fbf0c1d6721f429bab653fc12a6e1f59a7f601180634ef6c,2408038,a3201b27976269a0b34c62241455f40fe08635888cef09f490fd3dfeccf5cfd7,0403a304e99504cf9361f4e5644b264fc427bc640c6b23f6cc619b9a80c839d31a0e4fa43f7c2be4e800b1b971424c13373509870cef9977247179cc646d07566f26fa1f2d6e1f597f370e1900000000,1495232045,190e377f,stale,VALID,1801f6a7
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,00000000000000000133740b831ddbd4f604a85981d664f58e5df89cc5b77c5f,1498489560,18018b7e,038f37072cfabe6d6d9d0ee0285647bd696f02837bcad0144374a50fa5fe370a6ecd5573b50b1f857e8000000000000000,134vPp664VcocqouZeuSMZaXfquFyRLfQG;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2878a537202e3e1feb7bb1a183c353a712b495deb95ba4f3434e0495c2dfb17c610200000072360702,020000205f7cb7c59cf85d8ef564d68159a804f6d4db1d830b7433010000000000000000ed501cc6f948e3d8fa9e46d297f0091e7f4a65eadd76ce8b73173e8c8a54c239d82251597e8b01180516cd41,2479765,2263465686d4e6a1444e1a9a38fa8a569e808499529d7810e19b4fdca4eb696e,0403a304d050dd3d943d4590a9a26c0d896510b46ac43faa808b5d5a3c087cbb386ca0082443d322a58e8377f57d929eb6a0406eaf3a92cf2f1614ae421624a792f90289c7225159d5cb0b1900000000,1498489543,190bcbd5,stale,VALID,18018b7e
