btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,crown_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
495171,000000000000000000808eb41dd47d57aef25374b3c248b2b91ca9b5d97ff51f,00000000000000000083612f773b381a8b0ecbeef5d9c55e97737b2b4069291a,1511148095,1800ce4b,03438e0741d684929042613841d684929015aed62f4254432e544f502ffabe6d6db85755b9dbbbaff150b39de1ff3ba49dc4054f6437d588f214ba6824ee79959e8000000000000000fc0025755c50000000000000,76a9142b9db958ed02331e9fe78eff8c33cc9b276e40f188ac;6a24aa21a9edd1abbd626ada754eaccb244ba0f42400ab68e2f1669660278814a6ea24f4c3b4,000000201a2969402b7b73975ec5d9f5eecb0e8b1a383b772f6183000000000000000000635a6de69ca79abc8836afaff838005504d27fd63b67a4ae4dda75b2952237e63f4a125a4bce0018932d4b99,1635484,dcb3beacd969828e11c063da367d59617bdb385b77d90d0c3c9918cef9a8765f,02011400c01146708c62e6bff2a6ad0ac7e92835bcbc493f906e67f94f1253fa36fdb1c399827eb9949e6bfea6e0d7a138252f5561a4b3c991383b55b39fe9afc2b65ae4264a125a5a26381800000000,1511148070,1838265a,stale,VALID,1800ce4b
503806,000000000000000000841bfca4eb3f5b4c028d78a8af8dd0e0fcdd2774d9b8b3,0000000000000000008a4e9bd8f713b2473fdcbd90d791fb62f01e73a0802cbf,1515726267,180091c1,03feaf0741d696096f1b91b841d696096f0d9e942f4254432e544f502ffabe6d6db0db0f45b3537b95086fae078b50bf3e20b16f78f3b529e16f2b5f82a54216508000000000000000f900c89726ef000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edc1860360f357bc3f31397505f1d9c6128d848d2ea8816b01e9f3323217e5683c,00000020bf2c80a0731ef062fb91d790bddc3f47b213f7d89b4e8a0000000000000000000bf5e658c66404c4bfd70e0b978ca825919b4940e19331565a5905b0d547ba97bb25585ac191001889a6d790,1706191,d0a459a71bd0eb6365bd030502df65bc3b70f1fcd2ca13984d9850229e1f2255,0201140090406796d3ea0869c7964566cb453956f880cc46a2e05a71aa2eb95fcb813608fe66084d2caa91ebcbe1be67cfd7a6ffd8205d86b8e3a4951e27ec66bb74290eb125585ae00f271800000000,1515726257,18270fe0,stale,VALID,180091c1
503839,000000000000000000604325382f569da26fca365c7bdbb0de8bd12da4c86d4f,0000000000000000002b662533d6de1bebad43e454acf9aa93719bcc8730830d,1515744972,180091c1,031fb00741d6961ba86ba3df41d6961ba8348cc02f4254432e544f502ffabe6d6d8c4c02c6d47e632700da9e9b6c32788dc72c18a65a6715d0bc22ea0837095c4f8000000000000000d7000a1bbc0200a000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edf03444ba171e7f0aa90bb7a1fd49b7294aef52fbf14de72af6f0c0f7be33da54,000000200d833087cc9b7193aaf9ac54e443adeb1bded63325662b00000000000000000012b1790336a10c7bc4a4772d3f502c42a17d942ce555858145d90cdafbf4421bcc6e585ac1910018ac4722ce,1706483,d3fe50c127d02c7647e5b3804257ade4cb7c6d969f85e7bb137f28cfef00a783,020114001e2c064d3438dde85a4a3c8d49cc03e98447119629cff66e754a094d98eed80546d6e7fa51d6b9a22bde47e7e69c33af3694e1b0be3ea9b22cd077155de3dde5416e585a93a52f1800000000,1515744833,182fa593,stale,VALID,180091c1
505705,000000000000000000520a6174197bca28e864f13dd76db5ea8c9787b8ab5f62,00000000000000000026fc47cf06d1abd6c5889eca9c8b17737b8aa3c0f97ca5,1516709518,177e578c,0369b70741d699c9a41ae50241d699c9a3b0b5bd2f4254432e544f502ffabe6d6d0f6e0909b277e3483d50e0180d3ac450edfa667c4cabc034f03e2ab6db9f0a058000000000000000dd0042e80bfb010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed9132f2c741adf8df1741ec3d1ff66a578f9ef4c969106e2e89004dd4889b6a30,00000020a57cf9c0a38a7b73178b9cca9e88c5d6abd106cf47fc26000000000000000000e7c55573a629c387ce73f87cfcc8942b70347e3e95a9380069e26bac1ccf0d928e26675a8c577e17a262be93,1721835,410e5b05a891310a529e4e1708129aa591ddc1b6767c5c5ef378aebbc57af51c,020114001c073cfd55ccd91a73aacc1e9f6e8552624ad2cbca223ab156ec1ecc75206fd74cf0d7dc466051db534b696cfea018525205e2db1b1b57c1ec0176b49d8fd1258826675a186c301800000000,1516709512,18306c18,stale,VALID,177e578c
508270,00000000000000000035e3e4cb727262a51f2e814914d2b2fcd4e89dd1b0f4bd,0000000000000000004ce7698187372307116ab41972eff059892557232e98ac,1518108577,1761e9f8,036ec10741d69f1fe9a9679841d69f1fe872b2432f4254432e544f502ffabe6d6d7d44dd404370be574c04d46a24b40b45be01be591349922e5807609c308205348000000000000000c8006384715c000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed1c5786be4251f5538a6e7c152e1a57fdc62af053d9ae742d4051903f7c675a46,00000020ac982e2357258959f0ef7219b46a11072337878169e74c000000000000000000de347735c2ec11eaf728dcd4f45d2674a289dca60237421ab21eab0bfe0f9cd6a17f7c5af8e961170ed88432,1743975,d8acc9dc0b1ea2b995dad5d5a4d19cde5ee9f9d92f9be1ff659c16c6deff35e1,0201140009c7ee81cb2d3157c3d2ee3b313e0b251776e1ec10b2e64b21b22ddc3a5a1af689e397945ca80c1d834c6b4343daaf4feb691e7109dc4d73504bcaf48ecbe9fb8e7f7c5ab4f4251800000000,1518108558,1825f4b4,stale,VALID,1761e9f8
509677,000000000000000000412393430df277b1c5210db7f33bb1bf1babdce10e2034,0000000000000000002bc5c2a5defeaeb4218a9024e3d30442ae5bbfc0c2d16a,1518909980,1761e9f8,03edc60741d6a22e87ff61bc41d6a22e87471a3e2f4254432e544f502ffabe6d6d4e12baad12341f1f3fbd3f486dcc5c825235f74f638715af39d29a0d493656298000000000000000f900e217c613000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed5c109c6a9b27d83973c8ece60a20eb024d44f5a9d9412768e3014eb87d59958b,000000206ad1c2c0bf5bae4204d3e324908a21b4aefedea5c2c52b000000000000000000bb8bb815776149ce36d4a76951c6860c278311c6827ac26fa3000efed8fffb881cba885af8e961179929290c,1756721,a97c3304bffebf59e3bb1b3735a492a1b9cb647dca66ab8b20d68430573511b9,02011400a80e97127e4a770855e9b263d28eea821b22c04381dec5787a5d319f5a18b70ec6a4179c4f93700ba2d9e3672c15401cbc1c31d898181e3a9b86a3465edc0859d1b9885a0a572e1800000000,1518909905,182e570a,stale,VALID,1761e9f8
509842,000000000000000000552622fa1e15a2c85c6563bd7b66098965804cef3358e0,000000000000000000466682920a7826cfcb02cc4b2cc5d41105b29763ff20c6,1518997162,1761e9f8,0392c70741d6a283a7fe617341d6a283a74b9d242f4254432e544f502ffabe6d6d0e69e87af2280eee6bda072f2ad8b92e50157f9cb049541f97611da165bdd97e8000000000000000d700cb337258555500000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed089d786ea13eb3a7f3e7b4164f385d6a064e3a1524c364a0a75ac3f178d688a5,00000020c620ff6397b20511d4c52c4bcc02cbcf26780a92826646000000000000000000a28c9cf072debcdd0418ab4907e5a689a8a69b0186d16b0825c31d78385e77a4aa0e8a5af8e96117212e05dd,1758117,9d0b34f0f249cfc8f3a23c61d5d03cf3d9442de67c2d3979a6b635173acb83e5,020114005c5719a4f2d54bac1bbc9434a4f3577bc09e771d879b84e0dbfdfd07fc35f87f025f9e9332841d700c4460c7cf2329ea01d01684044e1c55f2caf839b9f9a9b8830e8a5a9f74221800000000,1518997123,1822749f,stale,VALID,1761e9f8
515256,0000000000000000003f46592dc0e914390890be733769416e3d82b7009ea8f8,00000000000000000020b1436f2c4d7da09da467afe7ed58f61c04be0a97fe55,1522078877,17514a49,03b8dc0741d6ae4528276a7041d6ae452771b8192f45324d2026204254432e544f502ffabe6d6d7f270ec92d0d49cbd62ea23427087f16e699d52c909ae5f032d89d6f0f0f59c28000000000000000e9009015395b000000000000,76a9149eecda14fe314502197be7401f4bc3000d73335a88ac;6a24aa21a9ed7f1fe53871be852806799dd1acde97536f59db0b4bed48fa85faf42b6c64eaf1;76a914172cc5187962a7255beddfbd99b547ff7a79352788ac,0000002055fe970abe041cf658ede7af67a49da07d4d2c6f43b120000000000000000000f560b920f52a02bc0ade7a34ff7fd15860a18b6dc079ef736980172e7f67c4739d14b95a494a511710a1b3cc,1806308,d5a1f03a076f304c8e3dea00c279c66dc19c7810d0b3e62fdbd6d444533813b6,0201140086de2be38ca4df196b444ba473fbf1a23d3d639ef91e665a66c516775760805cdd8e157c404e116dfd41804f86fdd6644bb0ba4677b0bcb521360d234eca60f58f14b95a625f551800000000,1522078863,18555f62,stale,VALID,17514a49
535495,000000000000000000115e2f370fad2516f8c847f339044ddd3e2da8555ad168,0000000000000000000f6925097a4ac59b9b9270f9ae140d7fd333f4081868e8,1533564391,172f4f7b,03c72b0841d6da157a5c914441d6da1579f665dc2f4254432e544f502ffabe6d6d02daa32a287473ce90ee93effa539827c00b2b98b3bd3659d29a4993e1ee1a2d8000000000000000df004edf7f4e000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed36102c47490b826bca378234f5cd8dbf6f1a0902bbf02d2eda79a66936acae45,00000020e8681808f433d37f0d14aef970929b9bc54a7a0925690f000000000000000000165adbfd5d4080d4117adba0bfa9b89670f703fe603469ba65f68acf4dec1d3fe755685b7b4f2f17546a32a3,1987836,908548c3ac95f0a7c57c31d8013fbdaee523b4bab9bf7dc65952ca95c4367153,02011400c1938e7b8b31761dfedf989c83b18275a2090bb3dbdd89da3defaa5891b9c56b5d593ab42dba9bfb338d92f44af04794009435ab88bf5afe00d9dcf4a79c4069d455685b495a191800000000,1533564372,18195a49,stale,VALID,172f4f7b
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,00000000000000000024622c5290c6374587f74f78069406af6d001c1b2fabff,1534891167,172c0da7,0303350841d6df25277124b441d6df252718f6c52f4254432e544f502ffabe6d6df230e894adf2e83727eb27666cd7afb7683558069bdb7e57279c83b97cef176a8000000000000000d700f134ae0dabaa00000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed49b867e1f1ffc66bbcdc0e66fd3d30767f8ddb50d6a1c98fa05f52296b526c9f,00000020ffab2f1b1c006daf069406784ff7874537c690522c622400000000000000000007b08f4225bb956f35120096ae7b08716c18dc54217b222489d0b181d8838f399f947c5ba70d2c17971e348c,2008722,ad40df46d3438c3a84db463406f1a5b7b7c363bb38bdc47bd0837e3c1a723ff7,0201140035f3b7992fb185894df6396517530e402f3985651a40b30d828acb103928d089702a933532ba20c35f8348c9e26b9183233483db9c275cddaaf7f9b3f41bcf7c88947c5bb3a3141800000000,1534891144,1814a3b3,stale,VALID,172c0da7
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,0000000000000000001e84cc5520bf6dcb06ed63703fa7c407608abb9bd7cf7c,1536258651,1729d72d,03463e0841d6e45c93abd3f541d6e45c92a69f3d2f48756f62692ffabe6d6d9ebb6008f388ba54b396546c64136ccb2e0b3da3ed1f2121f9258d983bf37a798000000000000000c500fcb5ef55551500000000,76a91494155788e7233d7bea9aa29feb2ed37bc878c40b88ac;6a24aa21a9ed00d19e56e34eca2fcdfc98d2a94e24c9e6b389106dfe22c7a0fe65928876c496,000000207ccfd79bbb8a6007c4a73f7063ed06cb6dbf2055cc841e0000000000000000005824a29c3079f17e31aa46657e7cfcd584be651b61c25b26fe08fcea3da8b9555b72915b2dd729176c2d3673,2030464,76b88d585ad1d4e94720cae53a96e65eaac08fcee37a72be7a85188f4af858ff,02011400ee53c105fc1182a690686a7b652f73354d5a2662fdca10e3458e435a8ced7f03af74d896fe1318be70fa6b05935f035385f8bd5b3942e57d129c656803b7cb871c72915bacd9101800000000,1536258588,1810d9ac,stale,VALID,1729d72d
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,000000000000000000109f4dca5d0fea2c03cd165d1b9356f8f07e6aa8c785f0,1539263620,1725c191,03205208042c67c15bfabe6d6dbab4113ee69b0d67762377a36df2ffa32f3bf74ed7c07bb5b166afd5f2f51eb68000000000000000082000a78a08130000062f081801002f,76a9143738752136c7b5deebbded93274d69c90d3b208f88ac,00000020f085c7a86a7ef0f856931b5d16cd032cea0f5dca4d9f1000000000000000000019bba046e8381b006eb0bf00a37e519563502a39f294b3fa77fea81566839936844cbf5b91c125172b8f2912,2080332,073f9d1e56f91d0449869c0d4460f587a348efa07339401fa913c2efa4814a38,02011400643577d585f50fc05dacfce2d626c9b949069de979463a98d64bfd6fc61950e5847d82938229578a70a3874eab8c7fda7dda3a1a39e7a869157a7087348969042c67c15b01cd101800000000,1539401516,1810cd01,stale,VALID,1725c191
555155,0000000000000000002fa73d58dbc421939796bc370af1ece833f2d1ff2fdca3,0000000000000000001d25429cf17e36c59f270cb54abef604d68623536d61e6,1545599646,17371ef4,0393780841d707fea8b7932441d707fea7b552732f48756f62692ffabe6d6da042e070d269c02f5ca69e016c921caa202a8baf82dc6304b58fcd4b68165fd98000000000000000ca003bf9e31f010000000000,76a91494155788e7233d7bea9aa29feb2ed37bc878c40b88ac;6a24aa21a9edab40651549a11170e241c779e198165494a15e523b278bdfdc501047d56a86f1,00008020e6616d532386d604f6be4ab50c279fc5367ef19c42251d000000000000000000fb8d209c56f4a22ca12f33b826e4b90b2a9c5ad388712b237762613d7bce1e809efa1f5cf41e37175129dfe1,2178872,32af5268f410ff644548308ed6aafa0eca11e5d60535bb78d76fa1fe4508d7e3,02011400ee998ae91c84e0bf84696a2654e33d485a0913c3ecbd81146aac869082d13397726c016d9d2f06e400bd21742768a5a787d5a9f31f15cfca5b2542a99f0ab31d93fa1f5ceabc1c1800000000,1545599635,181cbcea,stale,VALID,17371ef4
