btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,btcv_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
657561,0000000000000000000c2c0fb3fa1e1fc003c6f1393b1491e66307d9bdab2402,000000000000000000007ece1443111cd9ba96d29f6064910740726b7a3d33d0,1605724902,170ffedd,0399080a04e76ab55f706f6f6c312f4b6e6f78506f6f6c2ffabe6d6d2286b21e7679280d89ec8b6b7615431c0250f4879290bec96b79fdaf47245bbe010000000000000003026c4cd695000000000000,1Eb8n6upkr43sD1madGzU47opu5Zb7wgLw:680313964|OP_RETURN:0,00e0ff3fd0333d7a6b7240079164609fd296bad91c114314ce7e00000000000000000000acca618561ff9ee0e0394826e4c6bb2e019ff408607b53cbe2334537f960017ee66ab55fddfe0f170b95beb7,58585,be5b2447affd796bc9be909287f450021c4315766b8bec890d2879761eb28622,04016606d541801692ecd61fa69564ff96d1bcc8481ad58a1320337318626491b3c2f1096c07893132f45316dbed981dc9af14414247086be5b00d2d40825a90f5422773bc6ab55fe0bd0d1800000000,1605724860,180dbde0,stale,VALID,170ffedd
661031,00000000000000000009e052f86798ca10f2d63051eceb3dac421aa552e657aa,00000000000000000000f010d6ea571bb5a5657b285449f66fe1791b6d08854d,1607776316,170eb156,0327160a04b811d55f425443506f6f6cfabe6d6db002a0de129e064965d37daf972a037749b1da1c8d6a0e2534cc3b3145a2486a01000000000000000400529ce115000000000000,1Ca1KNQQo8akbrwTjjXuk8aikvC2pwodU2:648893750|OP_RETURN:0,00e000204d85086d1b79e16ff64954287b65a5b51b57ead610f00000000000000000000062e6d357d93225d8697c1177b6b50c92a9470f19d913598cfd1f7e14de27c0d93cb8d45f56b10e17708e2607,62019,6a48a245313bcc34250e6a8d1cdab14977032a97af7dd36549069e12dea002b0,04016606e36f6f8d72ccf500710d87081c43f6eb99e2b9243a1a7afd31c1ec8c42fb79c14b68e3a78cbce1d640461193a733e0aa6c981dc1f33494f465330a01ef94abb8f310d55f5e71041800000000,1607799027,1804715e,stale,VALID,170eb156
661031,00000000000000000002e6261cb0e6a455fe735f5daf1b0ea4f8aaffee3c6f1a,00000000000000000000f010d6ea571bb5a5657b285449f66fe1791b6d08854d,1607776331,170eb156,0327160a04a026d55f425443506f6f6cfabe6d6d2818b6ef4188a2dfb4bb4eafad70cef6ac6e4e0226cb0a28c192888ee2de2df00100000000000000030012ccf3ad020000000000,1Ca1KNQQo8akbrwTjjXuk8aikvC2pwodU2:648893750|OP_RETURN:0,000000204d85086d1b79e16ff64954287b65a5b51b57ead610f000000000000000000000e3c68298b5ca19eb2d99a9371bac0d2fca92c93ec55fc2313966af43016abe4b4bb8d45f56b10e177aa41603,62026,f02ddee28e8892c1280acb26024e6eacf6ce70adaf4ebbb4dfa28841efb61828,04016606e480d6de22e2b54e204b348efbe4711ab7013fad5d96a7b43219e57a6e25ec7cb53e7df6c56effd136a4fc0de951e820fa0bc3c296775f16be2ba2b0a9a64d5f5726d55f4a94061800000000,1607804503,1806944a,stale,VALID,170eb156
665005,00000000000000000001039fa3b04eb66a658c44632ac1d3694f772ea50f865f,000000000000000000077da1bd68279dc4f96ffaf5fa23610f8458bb86fabe26,1610044898,170f2217,03ad250a04cf55f75f425443506f6f6cfabe6d6d96987f91c01e005c83d46054b96fa7995787acf9c33d0041ca30adeb1465fb9c0100000000000000022518808af5000000000000,1Ca1KNQQo8akbrwTjjXuk8aikvC2pwodU2:724292012|OP_RETURN:0,0000ff3f26befa86bb58840f6123faf5fa6ff9c49d2768bda17d0700000000000000000092e9a7168e06d68207a30096e46dcfee7d8ac33ea8d78e2ef4d4b53fa064b27ce255f75f17220f176f80d6d3,65742,9cfb6514ebad30ca41003dc3f9ac875799a76fb95460d4835c001ec0917f9896,04016606e3228aa1bbd9e7297ca1fe55813d00e2ab3291d2b85744eb92ea65d78df55aa15781de71e57115709685dd8ee2c90e28b98803e47b3499927ec36c755a8493758855f75fa333061800000000,1610044808,180633a3,stale,VALID,170f2217
666931,0000000000000000000412c466b6f1e85bbf381b63889cd4b48a42d3a67b1017,0000000000000000000755fceb6639dc61772b2e8206419c8d444462da210619,1611168119,170da8a1,03332d0a0460790860425443506f6f6cfabe6d6dd2ab8fddb2076bf8fe636a3e76ef9704bbefe15f79cd060577f00578d857cda801000000000000000306f48a385e000000000000,1Ca1KNQQo8akbrwTjjXuk8aikvC2pwodU2:708997009|OP_RETURN:0,00e0ff3f190621da6244448d9c4106822e2b7761dc3966ebfc55070000000000000000007eb0367b8d02410431c0ccfc3e786e6ff33050d2c868156e55cbbf320aca654277790860a1a80d17df9269db,67614,a8cd57d87805f0770506cd795fe1efbb0497ef763e6a63fef86b07b2dd8fabd2,04016606e2b41983e7e2a368a37a6810c7e13623b928e3120053d2eb2bc0d5ed2a0874cc57ed74b4c45b3471010585af2a65b08e57c9be9fd08d15b167c12d5172597a78087808602e8f031800000000,1611167752,18038f2e,stale,VALID,170da8a1
671759,00000000000000000002ebd581ecbbf98fe96290a9481254ef9fe0eeea569f7c,000000000000000000031b0a7e55a77769d839c4b7e4da2939d8b5c0ba65a219,1614038847,170cf4e3,030f400a0441473460546f676574686572506f6f6cfabe6d6da2a5ea1aeb074c52f6e2389f526abdd12787f6f028129065ceafb9ddcd105bad0100000000000000022d32edaa06580100000000,bc1qwlrsvgtn99rqp3fgaxq6f6jkgms80rnej0a8tc:787011641|OP_RETURN:0,0000002019a265bac0b5d83929dae4b7c439d86977a7557e0a1b03000000000000000000b3ce61b29cf12d29247db172f1ef57f4859d0573711432747d408f04d17f4e063f473460e3f40c17287c8b2b,72383,ad5b10cdddb9afce65901228f0f68727d1bd6a529f38e2f6524c07eb1aeaa5a2,04016606b15ba5c253ae860c6470a5f03db8e13028f9a7382c52968e42493f2e5984b079cedd74c529bcc534fb11ed61e89bbfee5258d399440ba05f344d0914cd7e0c1f96463460e42e021800000000,1614038678,18022ee4,stale,VALID,170cf4e3
688349,0000000000000000000daac33e1cf1ecb1972b202e51c9b864050601dcd6f0ef,000000000000000000054ddb526c3313295ebfa8cc803e62574f65070d032355,1624249886,170e1ef9,03dd800a041f16d06020fabe6d6d87c470a0777bf5d50ee29cd3586318308bd982d7eb76a10e1f074e6c72678722020000007296cd10020e9cf30000435972c60000,35y82tEPDa2wm6tzkEacMG8GPPW7zbMj83:695439915|OP_RETURN:0,040000205523030d07654f57623e80cca8bf5e2913336c52db4d05000000000000000000aa339c50773b727beadf054b5751ec9e14e2d3b28beafd12dafddde4370620e41e16d060f91e0e1714729ee5,89307,3390fb9ba813d5034fcfb8fe32149d7242fdfff9841fe03a977c2bb5652aa877,0401660631703a442824e04805e1d76288cfebbb870dbba348ebfcd42fd0252cd3f7d567248348902282a3e2ce8349d7f21ce2f805c3848aed42030a3f58beeadedafdfb2713d060363c011800000000,1624249127,18013c36,stale,VALID,170e1ef9
693118,00000000000000000011563e0ffef300d61465d69c92875e510050fc332bbe99,000000000000000000022b075b543b2c3a5e5aab2847249e4e9636735948634e,1627501073,17149624,037e930a0411b2016120fabe6d6d0432336efa870556e4cad935c98721c3ff6c3a2d52c03cb1dea62219d3997a27020000007296cd100312fdfd00005d9f190d2900,35y82tEPDa2wm6tzkEacMG8GPPW7zbMj83:633281861|OP_RETURN:0,04e0ff274e6348597336964e9e244728ab5a5e3a2c3b545b072b02000000000000000000bd61b835973715df645c681af41dff707f305134f990a35f5e233e8b2c3b85c711b20161249614170fa8df66,94702,5a88053c3ac59240b652341690522554bbe4c716311ce57f418c2e97a91a82fc,04016606250002ccc3772887f9c92802cb64aea71134f909d148b8115f8a142b96357cb9fa777ce3304067bebc87b52ee09d4a52950dc959fb0fe16d01b346f44796b235b7b0016154ea001800000000,1627500727,1800ea54,stale,VALID,17149624
699616,00000000000000000004d9477fbe6a4cb42cdac0994ef5205a4d2234a654d985,00000000000000000005a09c04459688c70b7aa9fe13a86cb6b203fdc925b133,1631098247,170f48e4,03e0ac0a0487953861fabe6d6d6cba27dc81c73e405524c78c7fbe0f1a1ac1657e818b0da7cec41a97d1d6aa2e040000001e34c5f062696e616e63652f66723731347211256392781425140998d26f0686a4010000000000,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4:644228851|OP_RETURN:0,0400202033b125c9fd03b2b66ca813fea97a0bc7889645049ca005000000000000000000d2516df6e0703d94669a7ffb7baf29a3a7a5d38b25a77c23ea33c6c4caee604c87953861e4480f1778bae72b,100670,e66bb322408860571dacdbcd5aeefdc51fdaf4e1881f996aad5b059a01444a3b,04016606928c0f853c53fda8d7b1c1a1e17f3543334112571306e99ce2b79ca2049d1863d470e3153f11c7ad1459379803b8e05fa2ff2f48b81ceab54b5a7ea5292cb661c59438618aaa001800000000,1631098053,1800aa8a,stale,VALID,170f48e4
