height,hash,rule,attested_sigop_cost,legacy_sigops_from_bytes,evidence_source,evidence_url,block_file,block_sha256,notes
783426,00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,bad-blk-sigops,80003,18630,b10c,https://b10c.me/observations/11-invalid-blocks-783426-and-784121/,blocks/783426-00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4.bin,24b8cf4d3b4a131071ddb261caa3212e5bf01718728cde2d0b2827727663c85b,F2Pool; sigop cost 80003 exceeds MAX_BLOCK_SIGOPS_COST 80000; excess is not derivable from block bytes alone (embedded legacy sigops scale to 74520; the remainder needs spent-prevout context)
784121,000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,bad-blk-sigops,80003,18051,b10c,https://b10c.me/observations/11-invalid-blocks-783426-and-784121/,blocks/784121-000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d.bin,3bf2945fa3348b1fb5b2f15da9a0b978a5f7bd543de571cfc13d74bc45ce3694,F2Pool; sigop cost 80003 exceeds MAX_BLOCK_SIGOPS_COST 80000; excess is not derivable from block bytes alone (embedded legacy sigops scale to 72204; the remainder needs spent-prevout context)
