height,hash,btc_prev_hash,btc_header_version,coinbase_height,coinbase_scriptsig_hex,source_chains,source_child_observations,rejection_reason,exclusion_scope
225013,000000000000037f2cc0769d4244cf50f1cace4ab76b0b4adb31010e10150708,0000000000000006c20b4d76a83b877b2b33f87ca9e6878eeb76477e7ac06d38,2,436459339,044bd7031a0173522cfabe6d6d5f96eead5ea22511ec2950557d0834f76cd860bbee47f1d5bb386270d4f183b80800000000000000,namecoin|devcoin|ixcoin,namecoin:99370|devcoin:80590|ixcoin:120330,bip34_v2_coinbase_height_mismatch,consensus_invalid
225015,000000000000015437122b60d0a1d2ed7e1f98b5b292e886d6ca62042bba2035,0000000000000026a987d41b3b7f38bebb8e5b2138bc32e0a8f2126cd07c857b,2,436459339,044bd7031a025001522cfabe6d6d43629863b5b1d5de8916a8bd7cbd1918bc6543e246e7ba6e55bf745dcb513e2f0800000000000000,namecoin|devcoin|ixcoin,namecoin:99371|devcoin:80595|ixcoin:120333,bip34_v2_coinbase_height_mismatch,consensus_invalid
225134,00000000000003abc9b545f105aec0a14cab2b65665f967b2527b61bb25e21bd,000000000000030b9997981bd4cc2d7b637577b2fa5c01831f48f98b4b1d06fb,2,436459339,044bd7031a0163522cfabe6d6dbc4328f620ad2dc10be02522a7cc7f0ae498b549888f50859690fece2d306b320800000000000000,namecoin|devcoin|ixcoin,namecoin:99462|devcoin:80734|ixcoin:120574,bip34_v2_coinbase_height_mismatch,consensus_invalid
225145,00000000000001a3aa38003bb99c2bb16dc48dfcf5542ddf86139e639ff51433,0000000000000062e5bb81fc9517e941267b61026fd00db583de45f5c49eac71,2,436459339,044bd7031a0123522cfabe6d6dd14fcb9aca36a2eda2d2a5697fd1937b98d28349001f69bf4a2608bad70776dd0800000000000000,namecoin|devcoin|ixcoin,namecoin:99474|devcoin:80749|ixcoin:120612,bip34_v2_coinbase_height_mismatch,consensus_invalid
225221,0000000000000386f943ff46dbf220fed2ef2ce55214d6fce868db21507ddc99,00000000000001bf5746a9e47d33e066b0f993a4310852ef277e8be952151de2,2,436459339,044bd7031a59522cfabe6d6db0539f1943fa0263ab4bc7be9259f1270ebaa0d23733e662654b6a049aa054880800000000000000,namecoin|devcoin,namecoin:99535|devcoin:80807,bip34_v2_coinbase_height_mismatch,consensus_invalid
225430,00000000000001468e0b21b62cd0b41ec317eeeaa5afc0a8df43c01180e57f7f,0000000000000366ce98ca28338900094e8cbf445776253181749f782546d006,2,436459339,044bd7031a60522cfabe6d6dd2a3e6a60af19ef1519a648a205be968aa42d0040a12ea7e2aa6410e80a9313f0800000000000000,namecoin|devcoin|ixcoin,namecoin:99715|devcoin:80961|ixcoin:121267,bip34_v2_coinbase_height_mismatch,consensus_invalid
225430,000000000000017c4a0a7be4244a3b2c0dd41f884586ad8de78356a0994e8960,0000000000000366ce98ca28338900094e8cbf445776253181749f782546d006,2,436459339,044bd7031a0161522cfabe6d6d11011523a342d5a6a793d960db1f1393207dd969bc87be8058b6877f28f639cd0800000000000000,namecoin|devcoin|ixcoin,namecoin:99714|devcoin:80960|ixcoin:121266,bip34_v2_coinbase_height_mismatch,consensus_invalid
225464,0000000000000085a485d05c96051ff43ea70b8868d7373df9de771ca65b52c9,00000000000001e12d6e50709c5ec9add783c248e7eab3fa578878eff00c525d,2,436459339,044bd7031a028c00522cfabe6d6d16e6f88281aa9c8e23d07358e51aef40e8314c14debbe9b7569af3644962f8860800000000000000,namecoin|devcoin|ixcoin,namecoin:99771|devcoin:81009|ixcoin:121399,bip34_v2_coinbase_height_mismatch,consensus_invalid
226230,000000000000004cf2026785b16399bea2abab0f8b8a82d070ac0db40a06b3cb,000000000000029fe5764b1f619db9a6b8fb320b2a72e8fd6064251d41df4918,2,436434426,04fa75031a60522cfabe6d6d447172e8723db361a6e8c8d1df6be09db405940728e05acfa6622fd07a8a4a100800000000000000,namecoin|devcoin|ixcoin,namecoin:100567|devcoin:81561|ixcoin:122307,bip34_v2_coinbase_height_mismatch,consensus_invalid
226845,00000000000000c37c3327de7555db3e3dbe91cbe0294e532f8a32574d5b997d,000000000000032fc58adf8d775cb901df7508227558521af50cb492cfbc7ef7,2,436434426,04fa75031a0164522cfabe6d6d8ff0a68e344b586a001a21254da9133a46d86d070ddd2c19529d6c273a7b263d0800000000000000,namecoin|devcoin,namecoin:101111|devcoin:82009,bip34_v2_coinbase_height_mismatch,consensus_invalid
226895,000000000000030a6d0a4a0c91af3610843d170594eac75cc8a0e16390ba9559,00000000000001dd4f20868a596bc23efb98ac7553d4679a7a82f35c18e53660,2,436434426,04fa75031a024502522cfabe6d6d016035269eb3ad99d1ff362ebd4536c56037cba0deffeb2bf2409cd7ae79bafc0800000000000000,namecoin|devcoin|ixcoin,namecoin:101158|devcoin:82041|ixcoin:123067,bip34_v2_coinbase_height_mismatch,consensus_invalid
226912,00000000000000a34d399a3cb82e222fad8e73e465b905e333ada1662c61e0e0,000000000000010b669eef36d7ba7a5eb03a758e193f3f9e881909a7961ce427,2,436434426,04fa75031a02ab00522cfabe6d6dfd815d1d65ff88b939971ca477af659572ea9543a296e67d465c60ef342bfa500800000000000000,namecoin|devcoin|ixcoin,namecoin:101169|devcoin:82055|ixcoin:123093,bip34_v2_coinbase_height_mismatch,consensus_invalid
229388,00000000000001fb5262fee5a4b0e93f1274226980cc0893dcaa9dd9e1187f95,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229405,031d800370736a046e81021a042a066b12522cfabe6d6d3f9360023bc09ec8ffce3d57c1492bbc8e1b1d0144655509fca0e1ace595c31d0100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103522,bip34_coinbase_height_mismatch,consensus_invalid
229388,000000000000008af04b94d8286fe0e8d0aea3b2f35e758ef1e73e153169fa58,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229425,0331800370736a046e81021a04f9bfbe12522cfabe6d6d09236c4cc87a673a8b478605e6fcdd5585c5bc4609916597bd962bd2ed862e680100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103541,bip34_coinbase_height_mismatch,consensus_invalid
229388,00000000000000329b2b44eca61829f13c94bbafb35022f13e49ffff279e3f03,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229426,0332800370736a046e81021a04e900c812522cfabe6d6d84a6a479387f8dfdc7b3256d61e2d5ba08d6dd2adb8090010936cff61dfebce70100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103543,bip34_coinbase_height_mismatch,consensus_invalid
229388,00000000000001365d20401c25e9c8c1bc1570f99a943bc1575b20e16d77a18c,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229457,0351800370736a046e81021a0402076813522cfabe6d6d9f81006fa0cb5799f97b3f8ee995dbbda55c1e83754d64cadb321d1db65dc8d30100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103577,bip34_coinbase_height_mismatch,consensus_invalid
229388,0000000000000239bfc9b6f400b5b02ab401077bdc470d082e3da34276925cc8,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229471,035f800370736a046e81021a040d94ba13522cfabe6d6dd48364adb1effd444f3c8d87680ed30368fd5b12d0e20ea956578132f9df04160100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103588,bip34_coinbase_height_mismatch,consensus_invalid
229388,000000000000024fc7ce00ec89295323699886784960f68a04f4a4871b61caa8,0000000000000138b8b049ef6c1d4abb45743faf01ded7b0a9ccd84c9b30eef1,2,229506,0382800370736a046e81021a0430a77b14522cfabe6d6d71c2e6d47b4b265b5ad2f064723ecd40bc7eee5267d59df1aa84989c0cc87dc10100000000000000425443204775696c642033ac1eeeed88,namecoin,namecoin:103624,bip34_coinbase_height_mismatch,consensus_invalid
277975,0000000000000000de6f0b2978aa2b268cb9a54c5de6d21f97d17c6b0ff0ac3f,0000000000000001a873d98b187afa4ca40a1ab0d2a066df6c7ed5530632b92d,2,277975,03d73d04062f503253482f04bc30c352082e02a002002bed9a4d522cfabe6d6d711f2290b40d6f75dc3fa9d2245d018ce18782d3e4b9b4feff5b16cdacd4743004000000000000004861707079204e657720596561722120596f7572732047486173682e494f2e,namecoin|devcoin|ixcoin,namecoin:154429|devcoin:120059|ixcoin:181126,coinbase_scriptsig_length_above_100,consensus_invalid
