chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note,child_header_hex,child_nbits
devcoin,000000000000000f9bebd3fdfc86ed47161c711846c11ac33ec8c25612d09415,104823,468151d8e66f482e72b6094ccdcfd293f10c2239e59a757bc00f178c84748336,1378567715,source-row-authenticated-child-header,data/devcoin_stale_blocks.csv:49410,01010400dfe0596dff1601630816e8bf8f547f7e7cafffc28079bc3c6702a0d24e678cd316078eb75719790200681b7300e3870c7332f8bafd9fb58f1bf3ad8bb0cbbc6423462b521496001a00000000,1a009614
devcoin,000000000000002e0945284bbc96e41647478a1f43e8f6fc68b67c9e65c95302,104796,1de55a79d5218319fda99c14783bbe01237489600425bbb9b8e066e8173edbf5,1378546549,source-row-authenticated-child-header,data/devcoin_stale_blocks.csv:49409,01010400676c241038a84a9548029ddb3976b1d6a32315ce75d01287a860a55ccc70a5d0af0d28e433992f86ccf57794b2e86175ba7473ffbd702f542cb227fa70ff138275f32a52e28c001a00000000,1a008ce2
devcoin,000000000000000010bcbb75dc17fce43da835bd26ccec95ed0d39570a51112a,163400,c3075aae58b9560b5757231c889457f3d8946fc6e123020df22c529e60fab8d0,1416989992,node-verified-rpc+source-row-authenticated-child-header,node-verified-rpc:devcoin;source-row-authenticated:data/devcoin_stale_blocks.csv:83086,0101040086d0d5b5bc67f153c40c9266cc85aa0c944b043f86368b2fada702f249945554e501aa172c507b31f2d925f4fc5e42f3295288a7e3b1ea34b3ef77bfc00f8030288d7554497f3d1800000000,183d7f49
devcoin,00000000000000000d610e393ffeed6b9494d54121f05f7a3905f940f0e0cf69,163402,32a2f905bda749d12d41f6727b621b6ae9fd3999fdda6d03e351a62983dddf27,1416990547,node-verified-rpc+source-row-authenticated-child-header,node-verified-rpc:devcoin;source-row-authenticated:data/devcoin_stale_blocks.csv:83087,01010400a986bc310ce72f074d892c68a25056bdd28a47ba398086a707ae56a65743569ea8f61788b3aef6d8134dcb16a21afcddb3aa191d3ecf6bfb61a0dc1812d7ae8d538f7554179a3d1800000000,183d9a17
devcoin,0000000000000000045debde25155fb28418437253d12ff3bfa6a91526924111,217936,ce37c83cd5cd5a5ac4171cca576bedd5072437404c8b7cd3db126f9f04864724,1453406169,source-row-authenticated-child-header,data/devcoin_stale_blocks.csv:88515,0101040086d2957fb5161cfaecd8cfc262c10f37209e3e823ec0b03db2b280b70fbf06cafc43ffefb6fed0d6a8932c8057e534fb813cbcca7145b2014554cc54e249ab41d937a15673bd171900000000,1917bd73
