chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note
namecoin,0000000000000022e96ad66d9de209f1971c0c1cab004fbd8f9d1162b9ac7125,30656,dbdfb30d806a4b88ff58e9264424aa35506f1b7ce5adbbfebdf9dcd92fa77855,1322398588,auxpow_parent_match,
namecoin,0000000000000a5390f91542baf381da8595c188f4115c4db11d4114ee7cfd7a,30657,affddb28dd199cb3aece81c0656482cb4bc68e41cd805d3a7510fcbc4c7aa494,1322398883,auxpow_parent_match,
namecoin,000000000000027929ec38163c86e51c4af22c9e5e4f34f68f461dc41ec1947d,30685,2f777dd86e49a0bca3f4fae84e93ae545e04856ee35138e83cdc07071e62ac7a,1322415895,auxpow_parent_match,
namecoin,0000000000000d331fe03597a9cd3a841359affafc6c602466540cc466e315cc,30762,42d45959ba9cfeb39e1e49cfc6de3b9d0d427bb2c3a476abe9410d202f697803,1322463060,auxpow_parent_match,
namecoin,0000000000000a0101e3939b59d526806e0545ee95e7b947b8233ed42bb1b5e7,30902,6d046c0fcbfcda3ebed459ed28c46f63bb5fae3f6ba9b36e9dc6de7ff1748946,1322540063,auxpow_parent_match,
namecoin,00000000000002a50afc4d3212fde0470f7d7d0b4d4f0433a7ad1e41cd92ccb4,30977,3fa91c51789a31479bc37976566da58bff7dec1fb55e3a57d744005254ee5872,1322581828,auxpow_parent_match,
namecoin,0000000000000d8e7fbc786b66c27ea120e39baa254b32842efa74ca93688cc5,31107,cb98e2b8c039c4f2c63ac43d057df0e88c4a8205045c3b93aaafc4f1a60309fd,1322653033,auxpow_parent_match,
namecoin,0000000000000eaf2b20207992644076d134d4d9ba88be0227b879c7bcd3ef4c,31148,faae4aae33c131d868391d19897de3f41fce4296fd07ac82495b8f76d1295cca,1322680314,auxpow_parent_match,
namecoin,0000000000000681551e642ecc0344ff5cf8a8f553da7849879008dc39a0b412,31200,9673d08855272af11dfeeba8321d102f5a689030ff29be0942ffeae08ebc066c,1322713298,auxpow_parent_match,
namecoin,0000000000000cdf4862d0b02083b7d2d3718295fb17b994270a5c32577a6e7d,31375,e396ae6d0a641de3385cbf46bca6d6bfe795d6e0228ca874c9b0de65ff555527,1322805645,auxpow_parent_match,
namecoin,000000000000089430a8d8ef5f580ca85437eb300ee46e9c51281ce8cc6250e7,31488,66aed6f09109adce5b05364eb90635c9edb6b5c4ba8cba7e0f5e9f73794f2219,1322866474,auxpow_parent_match,
namecoin,00000000000000f3ec5c1ea18cd3baf62e738cd7b8b71955d0cc8d83192861dc,31770,d19dfdf09bc6299f3e1e0d9a66ba58933d97dd72f0facac2ce5e1a640f10f646,1323018352,auxpow_parent_match,
namecoin,00000000000006e15476ca3481051acdba585b798b71873495078dd76bd3a811,31882,764d1b0df0b347ac7409323d77a97120d9b39e8f924166744e4cef556bed4c51,1323080849,auxpow_parent_match,
namecoin,0000000000000e534aaa42e53f5f47aceb8a01d4cddf50c5aaeecacaaa0260a5,31926,554a9dc956cd196f68e37e3877ee704f6c0de8467632d5ce4166cb65853505a3,1323103611,auxpow_parent_match,
namecoin,00000000000000b839c3ce4039c0f29753b24069fb06c0aa8e0bcd1356b7f167,31973,75d4a1d8caf698f3a0b0f10fce559bef16cdb08c99defd34b5eb3c950d8ef30d,1323126976,auxpow_parent_match,
