chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note,child_header_hex,child_nbits
ixcoin,000000000000000f9bebd3fdfc86ed47161c711846c11ac33ec8c25612d09415,159230,0ebcfc4747b31c7ad99d396bc4da394a15397d9f57786aa99de6bfba930f51d3,1378567748,source-row-authenticated-child-header,data/ixcoin_stale_blocks.csv:184106,010103000ed86b12875d22a7656258491f387b3219afbc3f132708d9412cb986f7556bcd6494c2d07771ff8de463df42d7c5ab7464f239809e4b1cb9fd1e882325adef2344462b52f9da001a00000000,1a00daf9
ixcoin,000000000000002e0945284bbc96e41647478a1f43e8f6fc68b67c9e65c95302,159189,309878dedc8b30b7c80a93a8892a8256559782b347748f05712298cc72476c4c,1378546577,source-row-authenticated-child-header,data/ixcoin_stale_blocks.csv:184105,01010300978adeedadae3a2707964c9487c0e4fbcd0347d26241e53880bdbac395aaf3d06262d5d72c5476c1983533de73d46fd3c1bf7fbf081fc029cf0a3e8dff43e6af91f32a52f9da001a00000000,1a00daf9
ixcoin,00000000000000000868cee9f5dffb040e9d8d42256652ffc16be715e5b791d8,208393,8923dd049a08bb6419ec6c9bc8cdacb91503462ca03ece6f14c6452a4968db43,1402678395,source-row-authenticated-child-header,data/ixcoin_stale_blocks.csv:205499,01010300717972ec9ca262ba4a15a450c1e05158c06033ebe970262cd3243f91f0bd4f7ec4f298b8a26e40d2f8d03bc35812cf17efd2199242f5f8d67e6f6f8dac9b3b467b2c9b539292001900000000,19009292
ixcoin,000000000000000010bcbb75dc17fce43da835bd26ccec95ed0d39570a51112a,234208,20ad5131420ca7a48220913d2f514c76272b4b8d8103f7e3ff5a6475d16470c2,1416989784,node-verified-rpc+source-row-authenticated-child-header,node-verified-rpc:ixcoin;source-row-authenticated:data/ixcoin_stale_blocks.csv:219190,01010300aa9497a4cd799ab3953d0f94888ff1854878bf4dec983a2499c591d651b6c1ec5d5e2b550db70d353683f6ff370f355e0e4d18c037cdd95b3523b3c1dde0c542588c7554f8f93d1800000000,183df9f8
ixcoin,00000000000000000d610e393ffeed6b9494d54121f05f7a3905f940f0e0cf69,234210,5bf5444521412ed3cdd454d2d067c1859f7e37399ccc4b32c0959046c73d3531,1416990614,node-verified-rpc+source-row-authenticated-child-header,node-verified-rpc:ixcoin;source-row-authenticated:data/ixcoin_stale_blocks.csv:219191,010103006597b87f08297e06ba8aea3d98f7adef652c21bbe90a63cb6286762085972804608a2c43e6588679c6d911eaf58a8ebfd32e21312286b469eda990ea66a18179968f7554f8f93d1800000000,183df9f8
