chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,child_header_hex,child_block_time,child_nbits,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
ixcoin,full_inventory,<chain-archive>/ixcoin/classified/ixcoin_unknown_blocks.csv,54592,full_classifier_inventory,archive,267463,15025fa2f881e4581e037345eeece38d58f5e6ab815009ea98f6ac9aca38bd00,0101030059d9d0f2ec4b00a90c65063a3539bae3b7c6c5d02ab2b311b1b3ef4e08add19850dcb081b073741cfd64d1dd77ed356c53bb43d9354baec9df0e7d6d139c957f7b439755fb027c1800000000,1435976571,187c02fb,363732,0000000000000000155f2519d35cd5d2869900bcc5093594b27763a0315390b4,0000000000000000009cc829aa25b40b2cd4eb83dd498c12ad0d26d90c439d99,1435976572,1816418e,2867680927,03000000999d430cd9260dad128c49dd83ebd42c0bb425aa29c89c00000000000000000077e5e98057f2461764ddc0595b2b3521d803e923ae76498403154757ab06473d7c4397558e4116189f56edaa,03d48c05fabe6d6d993fd99526b2b828517f0bbb2ff4bb2bb48e8edda9a89a125d7335562d64e4bb10000000f09f909fe696b0e8a786e9878ee58fb7e8b79de586a5e78e8be6989f3132333830383935e585ace9878c0000000000000000000000000000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
ixcoin,full_inventory,<chain-archive>/ixcoin/classified/ixcoin_unknown_blocks.csv,54593,full_classifier_inventory,archive,267466,3ed32012e4f9c6766627f1143e2dad60660da12a0374e264bf03ee301457a88c,01010300d6bbae7dcef4bab4df18d3bc8e6f442279ad212f443317359ce837a270180139fd2433cdf89e9f411c9582a3e7133aa643039e8e60c9bfae7435c3c5581856848a499755fb027c1800000000,1435978122,187c02fb,363733,00000000000000000cb7a20ee4e199e347ad7369936abae53a1518efa531ec61,0000000000000000155f2519d35cd5d2869900bcc5093594b27763a0315390b4,1435978124,1816418e,2769231577,03000000b4905331a06377b2943509c5bc009986d2d55cd319255f150000000000000000334590846af20915ea38e90a4f4c5cd3cd42273ac2be57c59eb132f2be40cde08c4997558e411618d91e0fa5,03d58c05e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d08024815ae59883116796dfdf1f6c4626a66e744f25569786663a89f8a01c39010000000f09f909f4e657720486f72697a6f6e73206973203132333539353038206b6d20746f20506c75746f00,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
ixcoin,full_inventory,<chain-archive>/ixcoin/classified/ixcoin_unknown_blocks.csv,54594,full_classifier_inventory,archive,267469,38826a62028a827422e300d9d389bf0e6a49430c6c66f99e95edbef49d24ada3,010103003c731c0d1fe6d0781f52034b7ace1be4e3d9d8ac715ca022a296e0b3273a518ba710d637f4d1ca2fff1e691e89ede0d91127a06d40de55f3e5a05d875c3582294d4b9755fb027c1800000000,1435978573,187c02fb,363735,00000000000000001301bfd6f566a421c7eeba103d09b312032ca065cb185de7,00000000000000000966d65e0fd87d1d5a8f154a2c955816c28e2006e381aa18,1435978576,1816418e,2983296319,0300000018aa81e306208ec21658952c4a158f5a1d7dd80f5ed6660900000000000000009e932c2f6dd01e59b22d4603bae975f0c860433839a338418ebccb0b01e0db32504b97558e4116183f7dd1b1,03d78c05e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6da8c523c71a403b17048e8ecf499503fa3279a01afa9fd84b814b592fd92062df10000000f09f909f4e657720486f72697a6f6e73206973203132333533323739206b6d20746f20506c75746f00,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
