chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,child_header_hex,child_block_time,child_nbits,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason,rsk_miner,merge_mining_hash,is_uncle,uncle_index,uncle_parent_height,rsk_merkle_proof,rsk_coinbase_tail
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,10326,full_classifier_inventory,archive,2954542,6d4b9e42850a1c2daf5c15493d64154280f03e597850854762d77f8780aa15e7,,1608350064,,,0000000000000000000404bc39fdc580154c6f70966acdd7d8808fee3865fe26,b62e35e6e382a534674babd949d7ac1d1f07ebd500092bf10000000000000000,1608350069,170f1372,718876546,00e0ff7f0000000000000000f12b0900d5eb071f1dacd749d9ab4b6734a582e3e6352eb65143d79b852b4afd67a2839aa7657dc0958e10d5bfd5f080e1afd372aa8345e47579dd5f72130f17822fd92a,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match,1b7a75ef070ff49e6b9491a26403d799f2099ebd,d3d9ce7c80afd65859fd970e6bf2ef94d7a2364fcc19855436803431002d152e,0,,,4d30544e4300ed42846ed3eadc0fffb8a54a559f0396187d72cc1c367ddd483dd87342dcaa0bb07f2c9f58437898c555ba49c89b085e4ceb17b5e7be6b8b0e4ae1a208d46dea82adfed86a28b622632c787cf815e2805bcd73dbfaf23ef13bd05ffae19f95c00e29727a1ebb3f75800043c433bf4711178332a5a72af0ec4b47ea719347af0535c8d5d116b8abf2b01036fa7dd9fc2f151fbc5da57f35fb7605c83dc3b638ab86dd51d0a8ac92e28b4b6b02818e7e1b7e8c3040e5d62f8705127037aa00ae26586c5de7980413d1b1e6952a5050e0bca8e928e7416612b7cbe967e406774e28ffeb2d16b75761fbfec7b1f1206a8b9af3f5ee38fc0b800ea5a16db6aec4760b5a052de3b92d32aa02a342d591bd3c351cc500db8408c36cd7fe3438aa891b37e17ae2f523397679c54ddb83aec3bbbfb07837fde6b2b0ae7e24070e1ebb1b169eab931f24f15337b80a775187c233752077647e140066cef4fd3b90f1de83aa7661d95a9a7bd3cdcd6c69cc6233c835bd280ae223136497fcac,000000000000010072f8404b52573ef300b566df5d68a5f3d139ffc7cef6f24d62d843e7b3f0762b8c00000000000000002b6a2952534b424c4f434b3ad3d9ce7c80afd65859fd970e6bf2ef94d7a2364fcc19855436803431002d152e00000000
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,25432,full_classifier_inventory,archive,5019768,cb34087f9d84ac44544db057ac236ff05245d213ff7284fc5e59a9aa93d10dd6,,1675330015,,,00000000000000000002761b955201609da7fec57f93ba6f1971d60868860f7d,0000000000000000011846eb0386c120b19ad90e4ebab559292dab563bc3ee36,1675330031,17072720,1671821318,0040ef2636eec33b56ab2d2959b5ba4e0ed99ab120c18603eb4618010000000000000000d660f12f2da5fe82e009f75f6c980c93842b98228b6ed4a3cc9d1f68806b96aaef81db632027071706f8a563,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match,1b7a75ef070ff49e6b9491a26403d799f2099ebd,9069fbd003aae3595893d46fae337e354ce46671c038b95f092ebf26004c9878,1,0,5019770,,00000000000000c036289c0c03768b6e83ffa66016798a1597904958ab81dadfe055781cbbf2fdbc99dfa36953755c690689799962b48bebd836974e8cf900000000000000002b6a2952534b424c4f434b3a9069fbd003aae3595893d46fae337e354ce46671c038b95f092ebf26004c987800000000
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,28833,full_classifier_inventory,archive,5814419,abd8a05af4dcb7940f35f3d1fe1b37925e64fe1310d104e0595e9f753dd1786d,,1700080301,,,00000000000000000002519abcdc0b85977087bae63a36cd4a13638c22721ebd,00000000000000000003bccb5c7ff759adc174d474053dc4eb14bb1bdc67895b,1700080312,17045a12,3794945228,00a0a0295b8967dc1bbb14ebc43d0574d474c1ad59f77f5ccbbc0300000000000000000018bfec3da2b3a1a8e5ac8278e584863e7769c53dde9df7e0a7268e1ce5dafd4cb82a5565125a0417cc4432e2,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match,4e5dabc28e4a0f5e5b19fcb56b28c5a1989352c1,212eb0a5ce938ee188f43efb9da7d4865da9d7578b97e8d3ae4b982b0058b893,1,0,5814423,,0000000000000100ff5f6332a723bafd0034cf97b7b2dfb4001163b2a97178e2d7e4de748028919abac27ec60419d0b373f32b2000000000000000002b6a2952534b424c4f434b3a212eb0a5ce938ee188f43efb9da7d4865da9d7578b97e8d3ae4b982b0058b89300000000
